	non_symbiosis	symbiosis	MeanDecreaseAccuracy	MeanDecreaseGini
OG0009989	0.000547222	0.000582647	0.000543208	0.037575506
OG0004704	-4.13E-05	0.000576007	0.000244997	0.026054893
OG0011971	0.000563988	0.00057265	0.000566375	0.052533212
OG0014065	0.000338068	0.00057197	0.000437771	0.028871677
OG0014863	0.000294306	0.000571429	0.000410557	0.036964581
OG0016920	0.000603426	0.000561688	0.000577381	0.028283749
OG0014074	0.000682784	0.000558333	0.00062493	0.038977826
OG0003159	0.000388889	0.000556319	0.000446357	0.041378144
OG0014450	0.000775991	0.000548701	0.000671717	0.045222063
OG0013737	0.000678977	0.000544362	0.000602504	0.028006165
OG0009999	0.001034112	0.000540884	0.000800325	0.077556557
OG0018001	0.000514286	0.000540404	0.000525084	0.021863671
OG0013453	0.000397436	0.00054021	0.000462733	0.031311663
OG0004842	0.00138852	0.000539759	0.000940401	0.052299719
OG0001127	0.000876984	0.000538889	0.000721336	0.09528284
OG0014049	0.000393382	0.000537879	0.000442328	0.033525974
OG0003863	0.000551471	0.00053125	0.000537869	0.041167507
OG0011761	0.000594318	0.000527872	0.000561111	0.045859914
OG0016883	0.000438914	0.000524242	0.000463853	0.028476221
OG0002983	0.000500315	0.000518056	0.000495806	0.038303731
OG0010266	0.000613137	0.000513102	0.000549908	0.056994254
OG0000786	0.000948156	0.000512423	0.000708738	0.050049827
OG0014877	0.000464103	0.000509091	0.00048279	0.031106193
OG0000578	0.000387179	0.000506061	0.000444018	0.015597382
OG0000233	0.000561616	0.000503247	0.000541973	0.021734422
OG0000098	0.000300433	0.000502198	0.000379748	0.029880033
OG0016964	0.000538068	0.000498718	0.000502262	0.0294467
OG0010031	0.000319636	0.00049707	0.00042031	0.063842725
OG0016861	0.000289583	0.000496154	0.000395747	0.020187849
OG0010045	0.000238978	0.000491708	0.000365716	0.03938451
OG0001673	0.001506209	0.000486463	0.000971668	0.113391669
OG0009998	0.000752165	0.000485096	0.000598876	0.053839248
OG0016013	0.000530844	0.00047967	0.000492877	0.027763839
OG0016842	0.000567308	0.000479167	0.000456823	0.029776463
OG0012935	0.000458333	0.000466667	0.000454545	0.0144899
OG0016002	0.000205882	0.000466667	0.000300741	0.019624519
OG0011344	0.000314935	0.000464452	0.000376844	0.027418976
OG0014872	0.000160714	0.000461538	0.000307561	0.04330548
OG0016916	0.000311607	0.000459596	0.000366154	0.021692854
OG0000649	0.000751337	0.000458375	0.000588149	0.062856758
OG0013184	0.000739927	0.000454004	0.000598127	0.035709328
OG0010369	0.000382536	0.000453968	0.000425595	0.027069218
OG0014437	0.000658974	0.000451515	0.000530449	0.0286548
OG0013745	0.000540476	0.000449894	0.000489113	0.030942821
OG0016984	0.000461538	0.000444444	0.000452727	0.016578663
OG0003091	0.00062904	0.000441059	0.00051124	0.065812819
OG0014441	0.000428571	0.000439103	0.000433687	0.017712799
OG0000917	0.000301522	0.000436742	0.000360779	0.029068686
OG0000268	0.000347434	0.000433252	0.000381721	0.026505074
OG0016971	0.0004375	0.000433155	0.000434343	0.016638257
OG0001841	0.000915428	0.000432197	0.000661565	0.076650243
OG0016952	0.00062013	0.000429167	0.000510582	0.02855227
OG0002722	-8.09E-06	0.000428846	0.000220909	0.037996697
