invertebrate	vertebrate	MeanDecreaseAccuracy	MeanDecreaseGini
OG0005973	0.000301623376623377	0.000709273182957394	0.000509384244299823	0.06081291463954
OG0001818	0.000510751477624543	0.000705260505260505	0.000605548249845141	0.136485550096202
OG0009839	0.000990574690801577	0.00070349839862035	0.000839453995418676	0.112986077493198
OG0009339	0.000646309771309771	0.000702750696781506	0.000679072761930434	0.102935474189676
OG0009799	8.67161734034799e-05	0.000701069518716577	0.000339591204379107	0.0680004912852588
OG0009454	0.000345695970695971	0.000699665831244779	0.000518762816131237	0.110555741511191
OG0003482	0.000135326086956522	0.000697053090241945	0.000380242360379347	0.099291763735197
OG0008946	0.000978870435120435	0.000693779006279006	0.000841057237843467	0.120326736009089
OG0008869	0.000157322654462243	0.000693276515151515	0.000391386782231853	0.102201404600302
OG0005743	0	0.000684792626728111	0.00031340244353943	0.0937999514577301
OG0008383	0.000237185443283004	0.000681913048192118	0.000454306287319986	0.0662390406390309
OG0001075	7.84442979564931e-05	0.000680613535736875	0.000339112379432733	0.115119061504089
OG0008541	0.00114257782201479	0.00067979797979798	0.00092078540027154	0.180364147708673
OG0000455	0.00038830376940133	0.000677326762853079	0.000534272082559754	0.0775356751591832
OG0004906	3.7562656641604e-05	0.000676403847456479	0.000334905788755825	0.084237916694285
OG0004178	-1.35135135135135e-05	0.000669924812030075	0.000310123456790123	0.0850362651672739
OG0008945	0.000359343434343434	0.000666086956521739	0.000466737739872068	0.10168137254902
OG0001842	0.00069515191466411	0.000665908187599364	0.000667768881895594	0.108880397497982
OG0006852	0.000780494505494506	0.000660394265232975	0.000714220170600848	0.102672522991497
OG0002328	0.00027888198757764	0.00065625	0.000397444595205789	0.0593026565464896
OG0005191	0.000433333333333333	0.000656177156177156	0.000520223907547851	0.101877450980392
OG0010596	0.000190017016449234	0.000655048076923077	0.000383094262295082	0.0516699865092161
OG0004091	0.000441220119349131	0.000654584488409352	0.000530796703296703	0.120025161685519
OG0007466	0.000216877420824789	0.000653103822174031	0.000410636464984291	0.0163974551764025
OG0010368	0.000986501859204639	0.000650995246583482	0.000825948543903965	0.119525927592409
OG0006808	0.000592465032018874	0.00064984520123839	0.000624486286071652	0.0745296736085739
OG0001359	0.000315734989648033	0.000648005148005148	0.000455750891467442	0.0989406295576082
OG0001553	0.000283790650406504	0.000647324272324272	0.000425102138908916	0.0616257354547381
OG0001764	0.000333714969241285	0.00064715635241951	0.000474163610673902	0.0631492325241522
OG0007169	0.000301438398999375	0.0006444685828877	0.000442425123931973	0.0591089956826304
OG0002906	0	0.000644044612794613	0.000252680998270324	0.0522789904423843
OG0007423	0.000550591508173693	0.000641854038912862	0.000599257387570641	0.0962843481279312
OG0004296	0.000424242424242424	0.000641702586206897	0.00050974025974026	0.101230392156863
OG0009246	0.000174716756112105	0.000640990990990991	0.000381218457101658	0.0575463364293086
OG0009565	0	0.000638888888888889	0.000299257759784076	0.0851357973156989
OG0011114	0.000333481152993348	0.000637493158182813	0.000464041095890411	0.0657043528505393
OG0005826	1.25e-05	0.000636015325670498	0.000256004140786749	0.123218117898265
OG0004453	0.000752186399394358	0.000633429533429533	0.000685765823445726	0.167911576168929
OG0000049	1e-04	0.000632387220622515	0.000343956572671743	0.112715927038678
OG0008422	0.000115625	0.000630500347605611	0.000375974017621712	0.055743665573346
OG0001483	0.000353801169590643	0.00062906484962406	0.000486630308164778	0.148439910579616
OG0002379	0.000162279670975323	0.000628972520908005	0.000348559545030133	0.0270374582825445
OG0007223	0.000273183967332904	0.00062864474235442	0.000461512084516185	0.0570498128289071
OG0002898	0.000317110177404295	0.000619711538461538	0.000445585585585586	0.0619383430139733
OG0006583	0.0009316333361225	0.000610723938223938	0.000790980445328271	0.117761073560576
OG0006441	0.000140314969583262	0.000610532407407407	0.000345551378446115	0.0902189689816417
